Gene	N_mutations	Mean	Median	95CI_lower	95CI_upper	Min	Max	MSC	Source
FAM180B	8	29.45375	32	24.06446014	34.84303986	16.83	36	24.06446014	HGMD
FAM187A	20	28.895	26.8	15.40260178	42.38739822	22.6	42	15.40260178	HGMD
FAM193B	67	30.46	30	13.97259913	46.94740087	13.91	49	13.97259913	HGMD
FAM197Y5	6	16.81466667	17.995	12.27942653	21.3499068	8.948	21.4	12.27942653	HGMD
FAM20A	71	31.68042254	34	17.12079773	46.24004734	15.48	42	17.12079773	HGMD
FAM20B	2	33.5	33.5	32.58930682	34.41069318	33	34	32.58930682	HGMD
FAM20C	37	28.79891892	28.3	12.79498386	44.80285398	16.96	54	12.79498386	HGMD
FAM219A	3	30.23333333	32	24.28925619	36.17741048	24.7	34	24.28925619	HGMD
FAM219B	8	28.25	27.9	25.21929299	31.28070701	22.7	33	25.21929299	HGMD
FAM230D	3	30.66666667	33	24.67687627	36.65645707	25	34	24.67687627	HGMD
FAM32BP	24	17.05804167	19.505	0.431	35.63613187	0.431	27.2	0.431	HGMD
FAM3B	2	28.1	28.1	19.1752068	37.0247932	23.2	33	19.1752068	HGMD
FAM47E	2	33	33	31.17861363	34.82138637	32	34	31.17861363	HGMD
FAM50A	12	29.48333333	29	19.60810782	39.35855884	23.5	36	19.60810782	HGMD
FAM83E	2	29.85	29.85	24.11263294	35.58736706	26.7	33	24.11263294	HGMD
FAM83H	33	35.77181818	38	18.70306106	52.84057531	18.67	44	18.70306106	HGMD
FAN1	37	30.18791892	32	6.768453544	53.60738429	0.083	48	6.768453544	HGMD
FANCA	550	26.05586727	25.2	1.977821939	50.13391261	0.017	56	1.977821939	HGMD
FANCB	40	24.54765	23.8	6.078976018	43.01632398	4.511	37	6.078976018	HGMD
FANCC	71	27.88774648	27.3	9.98593656	45.7895564	0.55	42	9.98593656	HGMD
FANCD2	82	26.41781707	28.45	2.65653096	50.17910319	2.711	49	2.65653096	HGMD
FANCD2OS	26	28.95015385	28.9	6.27466335	51.62564434	7.214	49	6.27466335	HGMD
FANCE	18	28.25	27.5	8.286924063	48.21307594	10.54	41	8.286924063	HGMD
FANCF	21	27.296	26.1	9.34447763	45.24752237	6.716	38	9.34447763	HGMD
FANCG	101	28.95890099	31	11.68099173	46.23681025	6.356	38	11.68099173	HGMD
FANCI	237	28.87248945	28.4	9.429102383	48.31587652	0.486	49	9.429102383	HGMD
FANCL	19	30.07210526	33	14.1960891	45.94812143	17.15	37	14.1960891	HGMD
FANCM	79	29.8914557	32	12.05173882	47.73117257	4.969	43	12.05173882	HGMD
FAR1	7	33.61428571	32	28.43316068	38.79541075	28.5	42	28.43316068	HGMD
FARS2	40	28.69375	28.2	18.24415832	39.14334168	19.25	39	18.24415832	HGMD
FARSA	13	27.01992308	28.5	9.796052062	44.24379409	9.129	34	9.796052062	HGMD
FARSA-AS1	2	31	31	29.17861363	32.82138637	30	32	29.17861363	HGMD
FARSB	13	27.52838462	27.4	11.71791344	43.33885579	8.969	37	11.71791344	HGMD
FAS	162	22.81934568	23.75	3.846311273	41.79238008	0.002	37	3.846311273	HGMD
FASLG	8	24.14	23.35	20.56070931	27.71929069	18.62	30	20.56070931	HGMD
FASTKD2	9	31.71222222	31	25.42468937	37.99975508	19.61	43	25.42468937	HGMD
FASTKD3	6	23.15833333	24.15	19.96031209	26.35635458	18.6	26.8	19.96031209	HGMD
FAT1	31	24.21922581	24.4	2.182662639	46.25578897	2.087	35	2.182662639	HGMD
FAT2	4	21.5725	22.85	14.18658528	28.95841472	12.39	28.2	14.18658528	HGMD
FAT3	2	26.3	26.3	25.38930682	27.21069318	25.8	26.8	25.38930682	HGMD
FAT4	28	25.08432143	24.7	5.324810844	44.84383201	4.012	42	5.324810844	HGMD
FBL	4	29.55	29.7	22.37370304	36.72629696	22.8	36	22.37370304	HGMD
FBLIM1	2	22.905	22.905	4.518104618	41.29189538	12.81	33	4.518104618	HGMD
FBLN1	3	33.33333333	32	30.52912557	36.13754109	32	36	30.52912557	HGMD
FBLN2	2	18.205	18.205	14.38919556	22.02080444	16.11	20.3	14.38919556	HGMD
FBLN5	22	30.22409091	29.65	13.32325158	47.12493024	14.93	47	13.32325158	HGMD
FBN1	3006	30.77709747	31	14.98016976	46.57402518	0.001	53	14.98016976	HGMD
FBN1-DT	37	29.7872973	32	16.2337922	43.3408024	19.13	38	16.2337922	HGMD
FBN2	130	27.50860769	28.4	10.36138427	44.65583112	0.001	43	10.36138427	HGMD
FBN3	2	22.25	22.25	18.69829658	25.80170342	20.3	24.2	18.69829658	HGMD
FBP1	59	28.56750847	28.4	12.05373632	45.08128063	9.593	48	12.05373632	HGMD
FBRSL1	2	47.5	47.5	30.19682951	64.80317049	38	57	30.19682951	HGMD
FBXL3	70	29.39562857	28.85	10.30689516	48.48436198	0.599	42	10.30689516	HGMD
FBXL4	60	30.03683333	28.55	13.38562227	46.68804439	16.38	43	13.38562227	HGMD
FBXL5	25	26.1672	25.6	14.69209	37.64231	15.58	35	14.69209	HGMD
FBXL6	37	26.19918919	25.8	15.89797048	36.5004079	16.87	40	15.89797048	HGMD
FBXL8	30	28.15486667	28.5	12.71160812	43.59812522	6.746	37	12.71160812	HGMD
FBXO11	633	30.54100158	33	12.14634452	48.93565864	0.603	53	12.14634452	HGMD
FBXO32	2	23.99	23.99	15.77554748	32.20445252	19.48	28.5	15.77554748	HGMD
FBXO38	5	24.88	25	22.24670109	27.51329891	22.1	27.5	22.24670109	HGMD
FBXO38-DT	94	29.04156383	29.5	9.544854424	48.53827324	2.553	46	9.544854424	HGMD
FBXO43	8	21.0615	21.7	9.012834667	33.11016533	3.159	44	9.012834667	HGMD
FBXO7	26	30.12461538	28.65	13.63638362	46.61284715	18.54	45	13.63638362	HGMD
FBXW11	7	28.9	29.1	27.39985047	30.40014953	27.2	32	27.39985047	HGMD
FBXW7	30	32.41	32.5	22.01152673	42.80847327	22.6	42	22.01152673	HGMD
FCER1G	16	22.3414375	26.2	7.903	45.10464799	7.903	34	7.903	HGMD
FCGR3A	2	23.6	23.6	21.596475	25.603525	22.5	24.7	21.596475	HGMD
FCHO1	11	32.71818182	33	23.97496279	41.46140084	26	40	23.97496279	HGMD
FCN1	3	13.92266667	19.97	0.098	28.49827401	0.098	21.7	0.098	HGMD
FCN3	3	24.08333333	27.1	17.63336974	30.53329693	17.95	27.2	17.63336974	HGMD
FCRL3	2	18.915	18.915	8.196141226	29.63385877	13.03	24.8	8.196141226	HGMD
FCSK	10	29.31	28.75	15.67831318	42.94168682	22.4	41	15.67831318	HGMD
FDPS	6	27.45	26.85	24.03237179	30.86762821	22.9	32	24.03237179	HGMD
FDX1P1	2	35.5	35.5	29.12514771	41.87485229	32	39	29.12514771	HGMD
FDX1P2	2	33.5	33.5	32.58930682	34.41069318	33	34	32.58930682	HGMD
FDX2	3	24.86666667	22.9	18.28013539	31.45319795	20.7	31	18.28013539	HGMD
FDXR	52	28.29038462	27.15	12.53204818	44.04872105	15.45	48	12.53204818	HGMD
FECH	209	29.13895215	29.8	8.83297583	49.44492848	0.425	47	8.83297583	HGMD
FENDRR	81	31.09777778	33	13.8298595	48.36569605	10.69	45	13.8298595	HGMD
FERMT1	84	33.32925	33.5	10.35441126	56.30408874	2.147	58	10.35441126	HGMD
FERMT3	30	33.2897	35	4.397473408	62.18192659	0.041	62	4.397473408	HGMD
FEZF1	2	31.35	31.35	28.34471249	34.35528751	29.7	33	28.34471249	HGMD
FEZF1-AS1	2	31.35	31.35	28.34471249	34.35528751	29.7	33	28.34471249	HGMD
FFAR4	9	29.69	31	25.62090628	33.75909372	19.11	35	25.62090628	HGMD
FGA	164	23.12358537	23.15	0.710044448	45.53712628	0.008	48	0.710044448	HGMD
FGB	110	27.54258182	28.55	4.737050398	50.34811324	0.163	44	4.737050398	HGMD
FGD1	60	30.47433333	29.8	14.02704745	46.92161922	14.57	47	14.02704745	HGMD
FGD4	42	32.84047619	34	16.61206436	49.06888802	15.8	49	16.61206436	HGMD
FGF10	13	31.70615385	31	13.98210544	49.43020225	19.18	43	13.98210544	HGMD
FGF10-AS1	5	29.84	31	22.99755781	36.68244219	22.7	38	22.99755781	HGMD
FGF11	6	31.55	26.7	22.19987169	40.90012831	25	50	22.19987169	HGMD
FGF12	7	24.03371429	27.4	15.41564636	32.65178221	6.396	33	15.41564636	HGMD
FGF13	5	24.222	25.9	20.51353283	27.93046717	17.81	26.2	20.51353283	HGMD
FGF13-AS1	4	25.825	25.9	25.40395826	26.24604174	25.3	26.2	25.40395826	HGMD
FGF14	8	34.5125	34.5	30.19139819	38.83360181	25.1	42	30.19139819	HGMD
FGF16	7	29.14	32	20.75666102	37.52333898	13.83	38	20.75666102	HGMD
FGF17	6	28.33333333	27.65	23.95288054	32.71378613	22.5	34	23.95288054	HGMD
FGF20	2	33.5	33.5	30.76792045	36.23207955	32	35	30.76792045	HGMD
FGF21	41	26.49895122	25.5	10.99504287	42.00285957	6.787	40	10.99504287	HGMD
FGF23	25	25.9916	25.8	15.87331316	36.10988684	16.79	39	15.87331316	HGMD
FGF3	22	29.23409091	29	10.63837644	47.82980538	16.81	52	10.63837644	HGMD
FGF5	3	27.43333333	26.7	18.65673421	36.20993246	20.6	35	18.65673421	HGMD
FGF8	33	27.18536364	27.2	7.900259946	46.47046733	8.057	40	7.900259946	HGMD
FGF9	7	27.57142857	27.2	26.17339794	28.96945921	25.5	29.7	26.17339794	HGMD
FGFR1	314	31.1228758	32	16.33705562	45.90869597	1.399	47	16.33705562	HGMD
FGFR2	122	29.45270492	31	17.64460786	41.26080197	19.28	48	17.64460786	HGMD
FGFR3	90	24.75716667	25	9.903838569	39.61049476	0.215	44	9.903838569	HGMD
FGFRL1	2	19.9805	19.9805	6.961	43.69403981	6.961	33	6.961	HGMD
FGG	162	27.89740123	28.8	12.45692446	43.33787801	2.688	45	12.45692446	HGMD
FGR	2	25.7	25.7	24.97144545	26.42855455	25.3	26.1	24.97144545	HGMD
FH	267	30.15985768	29.5	14.78350921	45.53620614	9.182	55	14.78350921	HGMD
FHL1	78	28.90564103	28.4	13.91020323	43.90107882	16.7	48	13.91020323	HGMD
FHL2	3	24.06666667	24.4	21.49274609	26.64058724	21.8	26	21.49274609	HGMD
FHOD3	19	25.60736842	24.5	14.97205834	36.2426785	18.84	35	14.97205834	HGMD
FIBCD1	3	22.57766667	32	1.7006237	43.45470963	2.733	33	1.7006237	HGMD
FIBP	3	36	35	32.78737642	39.21262358	34	39	32.78737642	HGMD
FICD	7	28.62857143	28.3	24.18970726	33.0674356	21.1	34	24.18970726	HGMD
FIG4	78	30.12638462	31.5	13.73639479	46.51637444	5.438	44	13.73639479	HGMD
FIGLA	7	14.96142857	14.55	7.135232261	22.78762488	0.125	23.7	7.135232261	HGMD
FIGNL1	2	28.05	28.05	15.39136474	40.70863526	21.1	35	15.39136474	HGMD
FITM2	5	32.56	33	27.23925686	37.88074314	26	38	27.23925686	HGMD
FKBP10	66	30.45643939	33	8.255228488	52.6576503	1.824	49	8.255228488	HGMD
FKBP11	4	33.7	35	25.48657738	41.91342262	23.8	41	25.48657738	HGMD
FKBP14	11	28.60272727	34	11.0997717	46.10568284	18.44	36	11.0997717	HGMD
FKBP14-AS1	11	28.60272727	34	11.0997717	46.10568284	18.44	36	11.0997717	HGMD
FKBP3	6	31.58333333	33	28.45180996	34.7148567	26	35	28.45180996	HGMD
FKBP4	4	22.3975	22.7	19.51431995	25.28068005	19.09	25.1	19.51431995	HGMD
FKBP6	3	31.6	33	27.55814525	35.64185475	27.8	34	27.55814525	HGMD
FKBP7	9	27.31888889	26.9	22.58886344	32.04891434	17.44	34	22.58886344	HGMD
FKBPL	2	29.55	29.55	26.90898977	32.19101023	28.1	31	26.90898977	HGMD
FKRP	176	27.10844886	25.75	10.14589196	44.07100576	8.527	47	10.14589196	HGMD
FKTN	67	28.1840597	29.1	5.181158424	51.18696098	1.662	46	5.181158424	HGMD
FKTN-AS1	2	3.7675	3.7675	1.662	7.602428997	1.662	5.873	1.662	HGMD
FLACC1	2	30.7	30.7	22.86803862	38.53196138	26.4	35	22.86803862	HGMD
FLAD1	14	28.57928571	29.75	11.55462546	45.60394597	19.1	41	11.55462546	HGMD
FLCN	243	32.10240329	34	12.31849722	51.88630937	7.914	61	12.31849722	HGMD
FLG	133	26.63533835	29.4	3.900588466	49.37008823	0.506	37	3.900588466	HGMD
FLG-AS1	135	26.65259259	29.4	4.045584591	49.25960059	0.506	37	4.045584591	HGMD
FLG2	2	27.8	27.8	20.15017726	35.44982274	23.6	32	20.15017726	HGMD
FLI1	7	31.77142857	32	29.84827501	33.69458213	29.2	35	29.84827501	HGMD
FLII	4	28.775	28.95	22.01352474	35.53647526	21.2	36	22.01352474	HGMD
FLJ38576	26	25.38857692	26.35	0.013	51.27795954	0.013	41	0.013	HGMD
FLNA	332	28.12456024	26.65	10.7736991	45.47542139	0.78	51	10.7736991	HGMD
FLNB	132	27.89908333	27	12.60128735	43.19687932	8.269	50	12.60128735	HGMD
FLNB-AS1	4	28.425	27.15	22.41830703	34.43169297	23.4	36	22.41830703	HGMD
FLNC	211	32.23652133	33	11.56456832	52.90847433	0.506	60	11.56456832	HGMD
FLNC-AS1	125	32.96184	34	12.96885244	52.95482756	14.53	60	12.96885244	HGMD
FLOT1	16	25.51875	25.45	21.6419143	29.3955857	23.2	29.1	21.6419143	HGMD
FLRT3	2	20.91	20.91	16.73902522	25.08097478	18.62	23.2	16.73902522	HGMD
FLT4	135	31.19740741	32	18.00283066	44.39198416	14.57	50	18.00283066	HGMD
FLVCR1	25	27.4528	28.7	9.815134628	45.09046537	13.78	42	9.815134628	HGMD
FLVCR1-DT	10	28.42	29	19.22403686	37.61596314	21.7	33	19.22403686	HGMD
FLVCR2	30	27.79333333	27.75	13.08358829	42.50307838	14.68	38	13.08358829	HGMD
FLVCR2-AS1	7	27.40857143	31	18.74277862	36.07436423	14.68	38	18.74277862	HGMD
FMN2	4	28.975	28.35	22.21720554	35.73279446	23.2	36	22.21720554	HGMD
FMNL2	3	25.73333333	23	19.12557014	32.34109652	22.2	32	19.12557014	HGMD
FMO3	64	27.29392188	26.15	12.27152596	42.31631779	6.701	42	12.27152596	HGMD
FMR1	21	25.59380952	25.3	7.206316751	43.9813023	13.07	41	7.206316751	HGMD
FMR1-AS1	6	20.58666667	20.85	16.32502186	24.84831147	13.07	25.4	16.32502186	HGMD
FMR1-IT1	4	28.16	31.9	17.02413252	39.29586748	13.84	35	17.02413252	HGMD
FN1	30	25.68333333	26.5	15.27989214	36.08677452	17.42	35	15.27989214	HGMD
FN1-DT	6	27.33333333	28.05	25.29907436	29.36759231	23.6	29.1	25.29907436	HGMD
FN3K	3	27.96666667	23.5	15.17347717	40.75985617	20.4	40	15.17347717	HGMD
FNDC3B	3	28.53333333	25.5	21.7287945	35.33787217	25.1	35	21.7287945	HGMD
FNDC4	14	22.27707143	23.55	6.933089228	37.62105363	8.319	34	6.933089228	HGMD
FNDC8	31	24.869	33	0.07	58.19078788	0.07	37	0.07	HGMD
FNIP1	6	32.81666667	34	28.67819579	36.95513754	26.7	39	28.67819579	HGMD
FOCAD	15	31.49333333	33	16.88057199	46.10609468	20.7	42	16.88057199	HGMD
FOLR1	25	27.2452	25.2	12.9905148	41.4998852	18.13	39	12.9905148	HGMD
FOLR2	3	29.4	29.4	22.60015756	36.19984244	23.8	35	22.60015756	HGMD
FOSL2	6	35.83333333	35.5	33.87383359	37.79283307	34	38	33.87383359	HGMD
FOXA2	7	32.51714286	34	23.97312988	41.06115583	14.82	47	23.97312988	HGMD
FOXA3	2	11.8015	11.8015	2.803	28.19124523	2.803	20.8	2.803	HGMD
FOXC1	143	31.98146853	33	16.45003442	47.51290265	15.31	45	16.45003442	HGMD
FOXC2	103	31.90747573	33	16.14982136	47.66513009	16.02	47	16.14982136	HGMD
FOXC2-AS1	103	31.90747573	33	16.14982136	47.66513009	16.02	47	16.14982136	HGMD
FOXCUT	143	31.98146853	33	16.45003442	47.51290265	15.31	45	16.45003442	HGMD
FOXE1	12	30.45583333	32	19.25162991	41.66003675	18.87	35	19.25162991	HGMD
FOXE3	39	26.94	26.8	10.62847381	43.25152619	13.54	45	10.62847381	HGMD
FOXF1	81	31.09777778	33	13.8298595	48.36569605	10.69	45	13.8298595	HGMD
FOXF2	2	28.15	28.15	21.13766248	35.16233752	24.3	32	21.13766248	HGMD
FOXG1	133	35.32631579	35	22.20241309	48.45021849	21.6	52	22.20241309	HGMD
FOXG1-AS1	133	35.32631579	35	22.20241309	48.45021849	21.6	52	22.20241309	HGMD
FOXH1	21	21.36709524	21.1	1.824691747	40.90949873	2.079	32	1.824691747	HGMD
FOXI1	11	18.449	18.68	0.123	45.70974418	0.123	33	0.123	HGMD
FOXI3	20	27.213	29.2	9.382663578	45.04333642	12.31	37	9.382663578	HGMD
FOXJ1	7	32.32857143	34	26.52068178	38.13646108	24.3	41	26.52068178	HGMD
FOXJ2	2	32.5	32.5	31.58930682	33.41069318	32	33	31.58930682	HGMD
FOXK2	8	31.2975	33	25.04298387	37.55201613	19.78	42	25.04298387	HGMD
FOXL2	196	31.67195408	33	15.98074138	47.36316678	9.203	46	15.98074138	HGMD
FOXL2NB	196	31.67195408	33	15.98074138	47.36316678	9.203	46	15.98074138	HGMD
FOXN1	35	30.74285714	32	18.58945204	42.89626225	22.1	39	18.58945204	HGMD
FOXO1	2	30.7	30.7	22.86803862	38.53196138	26.4	35	22.86803862	HGMD
FOXO4	39	30.4574359	33	14.86514574	46.04972605	16.98	39	14.86514574	HGMD
FOXP1	73	32.87712329	34	16.48034758	49.27389899	16.23	50	16.48034758	HGMD
FOXP2	20	34.555	34.5	16.25038869	52.85961131	24.4	51	16.25038869	HGMD
FOXP3	142	25.19340141	25.9	8.467649228	41.91915359	0.055	45	8.467649228	HGMD
FOXP4	5	31.88	29.5	26.40885124	37.35114876	28	41	26.40885124	HGMD
FOXRED1	23	29.02865217	28.9	8.01377085	50.0435335	0.059	45	8.01377085	HGMD
FPGS	113	28.88909735	28	8.348223372	49.42997132	5.077	59	8.348223372	HGMD
FRA10AC1	11	30.89909091	33	9.765355924	52.03282589	15.09	42	9.765355924	HGMD
FRAS1	93	30.21904301	29.2	6.971486095	53.46659993	0.01	53	6.971486095	HGMD
FREM1	27	29.87244444	31	6.403961633	53.34092726	0.316	49	6.403961633	HGMD
FREM2	45	28.74044444	27.5	10.6321882	46.84870069	13.11	49	10.6321882	HGMD
FREY1	5	25.55	26	18.717106	32.382894	17.65	34	18.717106	HGMD
FRMD4A	4	27.04	28.65	18.40753167	35.67246833	16.86	34	18.40753167	HGMD
FRMD5	6	27.43333333	27.15	24.74774618	30.11892048	23.9	31	24.74774618	HGMD
FRMD7	156	26.62414103	26.45	12.15999042	41.08829163	6.628	42	12.15999042	HGMD
FRMPD4	4	25.5975	23.25	17.65267209	33.54232791	19.89	36	17.65267209	HGMD
FRRS1L	15	33.49133333	34	16.69903641	50.28363026	19.37	45	16.69903641	HGMD
FRY	2	29.9	29.9	13.32538405	46.47461595	20.8	39	13.32538405	HGMD
FRZB	2	29.1	29.1	21.99659317	36.20340683	25.2	33	21.99659317	HGMD
FSBP	6	34.51666667	33	28.01431544	41.01901789	24.1	43	28.01431544	HGMD
FSHB	9	26.07777778	24.5	23.21953197	28.93602359	22.6	34	23.21953197	HGMD
FSHR	53	26.34241509	27.2	8.928432378	43.75639781	1.489	50	8.928432378	HGMD
FSIP1	5	24.506	28.9	10.48331473	38.52868527	0.43	33	10.48331473	HGMD
FSIP2	24	21.96966667	21.4	0.085	47.68484183	0.085	35	0.085	HGMD
FSIP2-AS1	16	21.0254375	21.3	6.314	45.33963155	6.314	35	6.314	HGMD
FTCD	60	27.9095	26	2.297946455	53.52105355	13.21	57	2.297946455	HGMD
FTCD-AS1	10	33.07	28.2	7.987175223	58.15282478	23	50	7.987175223	HGMD
FTH1	325	27.77555692	27.7	12.43903718	43.11207667	0.03	50	12.43903718	HGMD
FTL	65	21.68130769	22.1	3.941193487	39.4214219	3.95	41	3.941193487	HGMD
FTLP14	56	29.425875	31.5	6.763025345	52.08872466	0.54	52	6.763025345	HGMD
FTO	8	30.6625	30.8	25.1389117	36.1860883	22.3	43	25.1389117	HGMD
FTSJ1	9	29.96666667	29.2	26.78452918	33.14880415	23.7	36	26.78452918	HGMD
FTSJ3	4	35.25	35	32.04635275	38.45364725	32	39	32.04635275	HGMD
FUBP1	10	27.792	27.6	10.50505013	45.07894987	17.73	38	10.50505013	HGMD
FUCA1	44	31.51772727	33	15.73290355	47.302551	14.5	46	15.73290355	HGMD
FUNDC2	87	21.5583908	22.4	3.687739774	39.42904184	1.065	35	3.687739774	HGMD
FUOM	8	24.97	25.95	20.37277607	29.56722393	17.36	33	20.37277607	HGMD
FUS	106	25.96142453	26.55	4.516657023	47.40619203	0.555	41	4.516657023	HGMD
FUT1	67	26.6268209	25.8	11.2804781	41.97316369	6.787	40	11.2804781	HGMD
FUT2	10	28.436	27.55	9.254239324	47.61776068	15.56	41	9.254239324	HGMD
FUT6	2	23.45	23.45	21.90182159	24.99817841	22.6	24.3	21.90182159	HGMD
FUT8	8	34.3925	34.5	27.18303068	41.60196932	19.84	49	27.18303068	HGMD
FUZ	9	26.49222222	27.5	21.94369376	31.04075068	14.63	34	21.94369376	HGMD
FXN	50	25.9891	26.1	8.698321732	43.27987827	4.605	47	8.698321732	HGMD
FXR1	4	30.775	32	27.25923479	34.29076521	26.1	33	27.25923479	HGMD
FXR2	9	26.77333333	29.5	22.77361646	30.7730502	18.16	32	22.77361646	HGMD
FXYD1	2	23.965	23.965	16.43356737	31.49643263	19.83	28.1	16.43356737	HGMD
FXYD3	11	29.74727273	28.4	7.797202713	51.69734274	16.72	47	7.797202713	HGMD
FYB1	2	34.5	34.5	33.58930682	35.41069318	34	35	33.58930682	HGMD
FYCO1	30	31.94333333	33.5	15.65036515	48.23630152	20.1	46	15.65036515	HGMD
FYTTD1P1	6	27.33333333	24.25	21.18312569	33.48354098	21.7	36	21.18312569	HGMD
FZD2	8	38.375	36	33.14470463	43.60529537	33	51	33.14470463	HGMD
FZD4	153	30.81594771	33	15.47210788	46.15978754	10.32	47	15.47210788	HGMD
FZD4-DT	153	30.81594771	33	15.47210788	46.15978754	10.32	47	15.47210788	HGMD
FZD5	5	30.44	28.8	21.44342802	39.43657198	21.3	43	21.44342802	HGMD
FZD6	13	28.79623077	29.4	10.23329327	47.35916827	9.451	39	10.23329327	HGMD
FZR1	4	22.435	21.675	10.85472595	34.01527405	13.39	33	10.85472595	HGMD
G6PC1	142	27.5549507	27.45	11.11589544	43.99400597	2.889	39	11.11589544	HGMD
G6PC3	57	30.37368421	31	16.5699157	44.17745272	16.53	45	16.5699157	HGMD
G6PD	248	22.9838871	24.3	8.163286913	37.80448728	0.038	36	8.163286913	HGMD
GAA	713	27.86140954	27.5	6.196126248	49.52669283	0.005	63	6.196126248	HGMD
GABBR1	4	29.15	30.25	25.22397222	33.07602778	24.1	32	25.22397222	HGMD
GABBR2	5	27.82	27	24.67672826	30.96327174	25.1	33	24.67672826	HGMD
GABRA1	62	28.45654839	28.8	13.74398293	43.16911385	5.206	53	13.74398293	HGMD
GABRA2	3	31.23333333	31	29.21483934	33.25182732	29.7	33	29.21483934	HGMD
GABRA3	5	25.86	26.8	22.87683824	28.84316176	22.1	28.9	22.87683824	HGMD
GABRA5	7	25	25.2	21.44946433	28.55053567	20.7	32	21.44946433	HGMD
GABRA6	6	33.36666667	34	27.10803554	39.6252978	25.5	44	27.10803554	HGMD
GABRB1	6	27.48333333	28.25	25.5765075	29.39015917	24.4	29.8	25.5765075	HGMD
GABRB2	49	29.56510204	31	20.54136137	38.58884271	17.83	33	20.54136137	HGMD
GABRB3	89	28.52864045	29.6	11.02645658	46.03082432	0.091	44	11.02645658	HGMD
GABRD	7	27.04285714	27.1	22.71234315	31.37337114	19.4	33	22.71234315	HGMD
GABRE	5	15.8424	19.38	0.887927485	30.79687251	0.01	33	0.887927485	HGMD
GABRG1	2	23.51	23.51	14.7855593	32.2344407	18.72	28.3	14.7855593	HGMD
GABRG2	82	30.74240244	32	13.58696367	47.89784121	1.087	47	13.58696367	HGMD
GAD1	14	31.18428571	32.5	17.98348018	44.38509125	19.08	40	17.98348018	HGMD
GAL3ST4	2	29.3	29.3	15.27532497	43.32467503	21.6	37	15.27532497	HGMD
GALC	284	28.89671127	28.3	9.898762265	47.89466027	0.069	52	9.898762265	HGMD
GALE	57	28.5577193	28.9	16.19735341	40.91808519	14.4	41	16.19735341	HGMD
GALK1	80	29.89005	31.5	6.841617681	52.93848232	2.582	53	6.841617681	HGMD
GALM	5	33.52	33	25.0768103	41.9631897	21.6	43	25.0768103	HGMD
GALNS	499	27.10248297	26.5	7.220538405	46.98442753	0.002	56	7.220538405	HGMD
GALNT12	14	32.4	32.5	13.64767961	51.15232039	21.7	49	13.64767961	HGMD
GALNT14	2	30.95	30.95	27.21615795	34.68384205	28.9	33	27.21615795	HGMD
GALNT2	6	26.701	28.7	11.80568918	41.59631082	1.406	47	11.80568918	HGMD
GALNT3	40	32.48	33	20.82025323	44.13974677	20.3	43	20.82025323	HGMD
GALNT8	4	28.2	29.4	22.04759518	34.35240482	21	33	22.04759518	HGMD
GALNTL5	3	24.41333333	26.5	19.27105165	29.55561502	19.54	27.2	19.27105165	HGMD
GALR2	2	30.35	30.35	25.52332613	35.17667387	27.7	33	25.52332613	HGMD
GALT	374	27.7212246	28	11.02185032	44.42059888	0.027	47	11.02185032	HGMD
GAMT	77	29.19179221	29.2	9.629905978	48.75367844	2.041	48	9.629905978	HGMD
GAN	106	31.46604717	32	13.28690058	49.64519376	0.001	54	13.28690058	HGMD
GANAB	30	31.89966667	33	14.31708215	49.48225118	14.5	44	14.31708215	HGMD
GAPDH-DT	2	29.8	29.8	27.61433636	31.98566364	28.6	31	27.61433636	HGMD
GAPDHS	12	32.15833333	33.5	17.42030542	46.89636124	22.5	44	17.42030542	HGMD
GAPVD1	2	34.5	34.5	33.58930682	35.41069318	34	35	33.58930682	HGMD
GAREM2	32	30.3878125	29.85	18.70273396	42.07289104	16.41	40	18.70273396	HGMD
GARIN5A	7	32.22857143	32	26.6847738	37.77236906	23.3	40	26.6847738	HGMD
GARS1	62	28.75967742	29.1	18.47117568	39.04817916	18.8	35	18.47117568	HGMD
GARS1-DT	9	28.45555556	29.7	24.20351302	32.70759809	18.8	35	24.20351302	HGMD
GART	3	30.36666667	29.5	26.3755933	34.35774003	27.6	34	26.3755933	HGMD
GAS1	2	23.11	23.11	17.11763885	29.10236115	19.82	26.4	17.11763885	HGMD
GAS1RR	2	23.11	23.11	17.11763885	29.10236115	19.82	26.4	17.11763885	HGMD
GAS2	21	27.296	26.1	9.34447763	45.24752237	6.716	38	9.34447763	HGMD
GAS2L2	3	28.76666667	27.8	26.41109042	31.12224291	27.5	31	26.41109042	HGMD
GAS5	13	29.95384615	28.7	18.33353931	41.574153	23.4	39	18.33353931	HGMD
GAS5-AS1	8	27.4625	27.8	25.00196885	29.92303115	23.4	32	25.00196885	HGMD
GAS7	2	29.65	29.65	25.36974204	33.93025796	27.3	32	25.36974204	HGMD
GAS8	6	37.46666667	38	29.41982405	45.51350928	22.8	48	29.41982405	HGMD
GATA1	28	25.34810714	26.2	9.752845856	40.94336843	0.887	35	9.752845856	HGMD
GATA2	219	31.53959817	34	13.67883395	49.40036239	1.486	50	13.67883395	HGMD
GATA2-AS1	70	30.38214286	33	12.24790058	48.51638514	8.47	49	12.24790058	HGMD
GATA3	89	32.42741573	34	16.8298992	48.02493226	14.07	47	16.8298992	HGMD
GATA3-AS1	12	32.80833333	33	20.21463596	45.4020307	20.7	42	20.21463596	HGMD
